id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-1198,webqsp,test,who influenced samuel taylor coleridge?,"William Wordsworth,Immanuel Kant,David Hartley","['Giambattista Vico', 'Baruch Spinoza', 'Thomas Browne', 'Friedrich Wilhelm Joseph Schelling', 'Emanuel Swedenborg', 'Immanuel Kant', 'John Milton', 'William Shakespeare', 'Robert Burns', 'Algernon Charles Swinburne']",Tiered-Forest,"William Wordsworth,Immanuel Kant,David Hartley",True
WebQTest-1092,webqsp,test,who did viggo mortensen play in lord of the rings?,Aragorn,['Aragorn'],Tiered-Forest,Aragorn,True
WebQTest-713,webqsp,test,what county is st. louis park in?,Hennepin County,['Hennepin County'],Tiered-Forest,Hennepin County,True
WebQTest-1637,webqsp,test,what are the catholic holy days?,"Solemnity of Mary, Epiphany, Ascension, Assumption of Mary, All Saints' Day, Immaculate Conception, Christmas","['Feast of St. Margaret of the Árpád House', 'Feast of Our Lady of Hungary', 'Feast of Our Lady of the Rosary', ""Our Lady of Aparecida's day"", 'Father Damien Day', 'Our Lady of Guadalupe Day', 'St. Spiridon Day', ""Saint Nicholas' Eve"", 'Feast of Assumption', ""Euthymius the Great's Feast Day"", 'The Feast of Our Lady of Mount Carmel', ""St. Anthony's Day"", 'Feast of Our Lady of Sorrows', ""St Joseph's Day"", ""Saint Patrick's Day"", 'Maundy Thursday', ""St. Stephen's Day"", 'Corpus Christi', 'Nativity of Mary', 'Olsok', 'Feast of the Immaculate Conception', 'Feast of the Cross', 'Feast of Christ the King', 'Name day', 'Fat Thursday', 'World Day of Peace', 'Palm Sunday', 'Saints Cyril and Methodius Day', 'Solemnity of Mary, Mother of God', 'Feast of Saints Peter and Paul', ""St Crispin's Day"", ""St Casimir's Day"", ""All Saints' Day"", 'Feast of St Francis of Assisi', 'St Nicholas Day']",Tiered-Forest,"Solemnity of Mary, Epiphany, Ascension, Assumption of Mary, All Saints' Day, Immaculate Conception, Christmas",True
WebQTest-1241,webqsp,test,where does the columbia river start?,Columbia Lake,['Columbia Lake'],Tiered-Forest,Columbia Lake,True
WebQTest-377,webqsp,test,what school did michael jordan attend?,University of North Carolina at Chapel Hill,"['Emsley A. Laney High School', 'University of North Carolina at Chapel Hill']",Tiered-Forest,University of North Carolina at Chapel Hill,True
WebQTest-1488,webqsp,test,what type of art does marc chagall do?,"painting, stained glass","['Modern art', 'Fauvism', 'Surrealism', 'Cubism', 'Expressionism']",Tiered-Forest,"painting, stained glass",False
WebQTest-383,webqsp,test,what language do chinese people write in?,Chinese,"['Nüshu script', 'Simplified Chinese character', 'Traditional Chinese characters', ""'Phags-pa script"", 'Chinese characters']",Tiered-Forest,Chinese,True
WebQTest-1619,webqsp,test,where do the appalachian mountains run?,eastern North America,['North America'],Tiered-Forest,eastern North America,True
WebQTest-1508,webqsp,test,when did bill clinton go to college?,"1964,1968","['Yale Law School', 'Edmund A. Walsh School of Foreign Service', 'University of Oxford', 'University Yale', 'Georgetown University', 'University College, Oxford']",Tiered-Forest,"1964,1968",False
